file,algo,outage,alpha,iter,t_attack,evict_ms,decay1_ms,min_trust,steps,period_ms,n_steps,attack_flag_ms
trial_ZKP_outage1000_ewma5_iter5_1786056687.csv,ZKP,1000,0.5,5,1786056713.5835142,1002.1390914916992,661.90505027771,0.0,50 25 6.25 3.12 1.56 0.39 0.2 0.1 0.05 0.02 0.01 0,436.359470540827,12,63301.788091659546
trial_ZKP_outage1000_ewma7_iter1_1786056490.csv,ZKP,1000,0.7,1,1786056516.4734323,564.0089511871338,564.0089511871338,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0.01 0,342.5121009349823,9,63304.00514602661
trial_ZKP_outage1000_ewma7_iter2_1786059700.csv,ZKP,1000,0.7,2,1786059725.970156,475.0075340270996,475.0075340270996,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0.01 0,342.4929976463318,9,63294.705390930176
trial_ZKP_outage1000_ewma7_iter3_1786060748.csv,ZKP,1000,0.7,3,1786060773.6950004,460.51549911499023,460.51549911499023,0.0,30 9 2.7 0.81 0.24 0.02 0.01 0,391.6851452418736,8,63300.50086975098
trial_ZKP_outage1000_ewma7_iter4_1786053110.csv,ZKP,1000,0.7,4,1786053135.9812016,464.84923362731934,464.84923362731934,0.0,30 2.7 0.81 0.24 0.07 0.01 0,513.3450428644816,7,63304.92186546326
trial_ZKP_outage1000_ewma7_iter5_1786055469.csv,ZKP,1000,0.7,5,1786055495.124716,517.552375793457,517.552375793457,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0.01 0,342.5317108631134,9,63277.47845649719
trial_ZKP_outage1000_ewma9_iter1_1786057802.csv,ZKP,1000,0.9,1,1786057827.7941406,850.3053188323975,850.3053188323975,0.0,1 0.1 0.01 0,346.7387358347575,4,63290.212869644165
trial_ZKP_outage1000_ewma9_iter2_1786058817.csv,ZKP,1000,0.9,2,1786058842.4420907,807.0042133331299,807.0042133331299,0.0,1 0.1 0,509.3238353729248,3,63345.59345245361
trial_ZKP_outage1000_ewma9_iter3_1786059307.csv,ZKP,1000,0.9,3,1786059332.715056,491.03617668151855,491.03617668151855,0.0,10 0.1 0.01 0,573.3776092529297,4,63291.08285903931
trial_ZKP_outage1000_ewma9_iter4_1786060322.csv,ZKP,1000,0.9,4,1786060348.8740263,667.609691619873,667.609691619873,0.0,10 1 0.1 0,459.9874019622803,4,63307.61694908142
trial_ZKP_outage1000_ewma9_iter5_1786061271.csv,ZKP,1000,0.9,5,1786061296.4790246,402.0709991455078,402.0709991455078,0.0,10 1 0.01 0,459.54442024230957,4,63300.61411857605
trial_ZKP_outage2000_ewma5_iter1_1786049695.csv,ZKP,2000,0.5,1,1786049720.6617067,788.4194850921631,448.383092880249,0.0,50 25 6.25 3.12 1.56 0.78 0.39 0.2 0.05 0.02 0.01 0,436.36250495910645,12,63288.397789001465
trial_ZKP_outage2000_ewma5_iter2_1786053208.csv,ZKP,2000,0.5,2,1786053234.0588324,851.1960506439209,511.20662689208984,0.0,50 25 12.5 6.25 3.12 1.56 0.78 0.39 0.2 0.1 0.05 0.01 0,428.3353090286255,13,63311.06686592102
trial_ZKP_outage2000_ewma5_iter3_1786050481.csv,ZKP,2000,0.5,3,1786050507.0322263,985.0301742553711,985.0301742553711,0.0,25 12.5 6.25 3.12 1.56 0.78 0.39 0.1 0.05 0.02 0.01 0,405.31238642605865,12,63323.34876060486
trial_ZKP_outage2000_ewma5_iter4_1786058423.csv,ZKP,2000,0.5,4,1786058449.2713783,806.4148426055908,446.36058807373047,0.0,50 25 12.5 6.25 3.12 1.56 0.39 0.2 0.05 0.02 0.01 0,436.36402216824615,12,63306.573152542114
trial_ZKP_outage2000_ewma5_iter5_1786057410.csv,ZKP,2000,0.5,5,1786057435.8161008,892.235517501831,892.235517501831,0.0,25 12.5 6.25 3.12 0.78 0.39 0.2 0.1 0.05 0.02 0.01 0,407.28471495888454,12,63313.100814819336
trial_ZKP_outage2000_ewma7_iter1_1786058619.csv,ZKP,2000,0.7,1,1786058646.3663278,668.7839031219482,668.7839031219482,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0.01 0,342.49264001846313,9,63308.59470367432
trial_ZKP_outage2000_ewma7_iter2_1786055864.csv,ZKP,2000,0.7,2,1786055889.449243,403.60403060913086,403.60403060913086,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0.01 0,342.5385653972626,9,63283.54859352112
